ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
UMAX,Hamilton Utilities YIELD MAXIMIZER ETF,Hamilton,Equity,0.25,13.95,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDB,BMO Discount Bond Index ETF,BMO,Fixed Income,0.25,2.15,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FBTC,Fidelity Advantage Bitcoin ETF,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CDIV,Manulife Smart Dividend ETF,Manulife,Equity,0.25,2.68,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MUB,Mackenzie Unconstrained Bond ETF,Mackenzie,Fixed Income,0.25,4.89,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VEF,Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged),Vanguard,Equity,0.25,2.44,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
IDIV.B,Manulife Smart International Dividend ETF,Manulife,Equity,0.25,2.74,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZUQ,BMO MSCI USA High Quality Index ETF,BMO,Equity,0.25,0.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CDZ,iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,iShares,Equity,0.25,3.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
EQL.F,Invesco S&P 500 Equal Weight Index ETF,Invesco,Equity,0.25,1.27,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XRE,iShares S&P/TSX Capped REIT Index ETF,iShares,Equity,0.25,4.74,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZWP,BMO Europe High Dividend Covered Call Fund,BMO,Equity,0.25,6.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HEB,Hamilton Canadian Bank Equal-Weight Index ETF,Hamilton,Equity,0.25,3.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZWH,BMO US High Dividend Covered Call Fund,BMO,Equity,0.25,6.12,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CPD,iShares S&P/TSX Canadian Preferred Share Index ETF,iShares,Fixed Income,0.25,5.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HXDM.U,Global X Intl Developed Markets Equity Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XHY,iShares U.S. High Yield Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,6.08,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HXDM,Global X Intl Developed Markets Equity Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGQ,BMO MSCI All Country World High Quality Index ETF,BMO,Equity,0.25,0.58,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HSUV.U,Global X USD Cash Maximizer Corporate Class ETF,Global X,Fixed Income,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PSU.U,Purpose US Cash Fund,Purpose,Fixed Income,0.25,4.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
WSRI,Wealthsimple North America Socially Responsible Index ETF,Wealthsimple,Equity,0.25,1.2,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZCOM,BMO Broad Commodity ETF,BMO,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCIL,Fidelity International Low Volatility ETF,Fidelity,Equity,0.25,1.7,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HBNK,Global X Equal Weight Canadian Banks Index ETF,Global X,Equity,0.25,3.1,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SITI,Scotia International Equity Index Tracker ETF,Scotia,Equity,0.25,2.21,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CIAI,CI Global Artificial Intelligence Fund,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
WSRD,Wealthsimple Developed Markets ex North America Socially Responsible Index ETF,Wealthsimple,Equity,0.25,2.28,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCCM,Fidelity Canadian Momentum ETF,Fidelity,Equity,0.25,0.81,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HYLD,Hamilton Enhanced U.S. Covered Call ETF,Hamilton,Equity,0.25,12.68,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCCV,Fidelity Canadian Value ETF,Fidelity,Equity,0.25,1.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SMAX,Hamilton U.S. Equity Yield Maximizer ETF,Hamilton,Equity,0.25,10.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
