ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
FCID,Fidelity International High Dividend ETF,Fidelity,Equity,0.25,3.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HAB,Global X Active Corporate Bond ETF,Global X,Fixed Income,0.25,4.06,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DRFD,Desjardins RI Developed ex-USA ex-Canada Multifactor - Net-Zero Emissions Pathway ETF,Desjardins,Equity,0.25,2.59,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZWG,BMO Global High Dividend Covered Call ETF,BMO,Equity,0.25,6.12,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XIG,iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,4.29,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DRMU,Desjardins RI USA - Net-Zero Emissions Pathway ETF,Desjardins,Equity,0.25,0.86,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DXUS,Dynamic Active U.S. Equity ETF,Dynamic,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DLR,Global X US Dollar Currency ETF,Global X,Equity,0.25,3.33,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCVH,Fidelity U.S. Value Currency Neutral ETF,Fidelity,Equity,0.25,0.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZLI,BMO Low Volatility International Equity Fund,BMO,Equity,0.25,2.14,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TBNK,TD Canadian Bank Dividend Index ETF,TD,Equity,0.25,2.74,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZJG,BMO Junior Gold Index ETF,BMO,Equity,0.25,0.09,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZEO,BMO Equal Weight Oil & Gas Index ETF,BMO,Equity,0.25,2.83,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
DLR.U,Global X US Dollar Currency ETF,Global X,Equity,0.25,3.33,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CDAY,Hamilton Enhanced Canadian Equity Daymax ETF,Hamilton,Equity,0.25,10.27,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RDBH,RBC U.S. Discount Bond (CAD Hedged) ETF,RBC,Fixed Income,0.25,1.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SLVU,BetaPro Silver 2x Daily Bull ETF,BetaPro,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RTA,Purpose Tactical Asset Allocation Fund,Purpose,Equity,0.25,10.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XEH,iShares MSCI Europe IMI Index ETF (CAD-Hedged),iShares,Equity,0.25,2.43,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
GLDX,Global X Gold Producers Index ETF,Global X,Equity,0.25,0.8,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VRE,Vanguard FTSE Canadian Capped REIT Index ETF,Vanguard,Equity,0.25,2.79,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TBAL,TD Balanced ETF Portfolio,TD,Multi-Asset,0.25,2.44,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CROP,Purpose Credit Opportunities Fund,Purpose,Equity,0.25,5.47,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGR,iShares Global Real Estate Index ETF,iShares,Equity,0.25,2.27,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
LIFE,Evolve Global Healthcare Enhanced Yield Fund,Evolve,Equity,0.25,12.01,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CCDN,CI Canadian Equity Index ETF,CI,Equity,0.25,2.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
UMVP,Hamilton Champions Utilities Index ETF,Hamilton,Equity,0.25,0.37,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MHYB,Mackenzie Global High Yield Fixed Income ETF,Mackenzie,Fixed Income,0.25,5.11,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZSDB,BMO Short-Term Discount Bond ETF,BMO,Fixed Income,0.25,1.26,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
MNU.U,Purpose USD Cash Management Fund,Purpose,Fixed Income,0.25,4.13,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XDU,iShares Core MSCI US Quality Dividend Index ETF,iShares,Equity,0.25,2.28,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CCOM,CI Auspice Broad Commodity Fund ETF (Hedged Series Units),CI,Equity,0.25,3.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
COW,iShares Global Agriculture Index ETF,iShares,Equity,0.25,2.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLCD,Franklin FTSE Canada All Cap Index ETF,Franklin,Equity,0.25,2.22,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZGLH,BMO Gold Bullion Fund,BMO,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HEWB,Global X Equal Weight Canadian Banks Index Corporate Class ETF,Global X,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VCIP,Vanguard Conservative Income ETF Portfolio,Vanguard,Multi-Asset,0.25,2.88,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CUD,iShares US Dividend Growers Index ETF (CAD-Hedged),iShares,Equity,0.25,1.86,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VA,Vanguard FTSE Developed Asia Pacific All Cap Index ETF,Vanguard,Equity,0.25,1.94,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XRB,iShares Canadian Real Return Bond Index ETF,iShares,Fixed Income,0.25,2.43,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PFL,Invesco Canadian Government Floating Rate Index ETF,Invesco,Equity,0.25,2.81,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HPYM,Harvest Premium Yield 7-10 Year Treasury ETF,Harvest,Equity,0.25,9.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCUD,Fidelity U.S. High Dividend ETF,Fidelity,Equity,0.25,2.69,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZIU,BMO S&P/TSX 60 Index ETF,BMO,Equity,0.25,2.16,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FGEP,Fidelity Global Equity+ Fund,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
GCTB,Guardian Ultra-Short Canadian T-Bill Fund,Guardian,Fixed Income,0.25,2.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XCS,iShares S&P/TSX SmallCap Index ETF,iShares,Equity,0.25,1.15,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
SHLD,Global X Defence Tech Index ETF,Global X,Equity,0.25,0.15,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CAPM,Capital Group Multi-Sector Income Select ETF (Canada),Capital Group,Equity,0.25,5.25,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCAM,Fidelity All-American Equity ETF,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLSA,Fidelity Long/Short Alternative Fund,Fidelity,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VALT,CI Gold Bullion Fund,CI,Equity,0.25,0.0,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FCUB,Fidelity Core U.S. Bond ETF,Fidelity,Fixed Income,0.25,3.92,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
USCL,Global X Enhanced S&P 500 Covered Call ETF,Global X,Equity,0.25,12.91,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PABF,Purpose Active Balanced Fund,Purpose,Multi-Asset,0.25,3.97,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGXF,CI Gold+ Giants Covered Call ETF,CI,Equity,0.25,5.75,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XPF,iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged),iShares,Fixed Income,0.25,5.1,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HGY,Global X Gold Yield ETF,Global X,Equity,0.25,4.71,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TSLY,Harvest Tesla Enhanced High Income Shares ETF,Harvest,Equity,0.25,41.62,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FSB,CI Enhanced Short Duration Bond Fund,CI,Fixed Income,0.25,3.98,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QCE,Mackenzie Canadian Large Cap Equity Index ETF,Mackenzie,Equity,0.25,2.18,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
FLVI,Franklin International Low Volatility High Dividend Index ETF,Franklin,Equity,0.25,2.29,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZFN,BMO SIA Focused North American Equity Fund,BMO,Equity,0.25,0.49,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZDH,BMO International Dividend Hedged to CAD ETF,BMO,Equity,0.25,2.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSAB,iShares ESG Aware Canadian Aggregate Bond Index ETF,iShares,Fixed Income,0.25,3.2,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PXC,Invesco RAFI Canadian Index ETF,Invesco,Equity,0.25,2.35,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XUSC,iShares S&P 500 3% Capped Index ETF,iShares,Equity,0.25,0.94,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CBND,Manulife Smart Corporate Bond ETF,Manulife,Fixed Income,0.25,4.05,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XHD,iShares U.S. High Dividend Equity Index ETF (CAD-Hedged),iShares,Equity,0.25,2.29,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QMVP,Hamilton Champions U.S. Technology Index ETF,Hamilton,Equity,0.25,0.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XHB,iShares Canadian HYBrid Corporate Bond Index ETF,iShares,Fixed Income,0.25,4.48,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZFH,BMO Floating Rate High Yield ETF,BMO,Equity,0.25,5.4,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
THE,TD International Equity CAD Hedged Index ETF,TD,Equity,0.25,2.46,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
PDF,Purpose Core Dividend Fund,Purpose,Equity,0.25,3.02,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
RUDH,RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF,RBC,Equity,0.25,1.43,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
TBCG,TD Target 2027 Investment Grade Bond ETF,TD,Fixed Income,0.25,2.36,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
QDAY,Hamilton Enhanced Technology Daymax ETF,Hamilton,Equity,0.25,5.16,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
GGRO,iShares ESG Growth ETF Portfolio,iShares,Multi-Asset,0.25,1.48,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
JBND,JPMorgan US Bond Active ETF,JPMorgan,Fixed Income,0.25,1.31,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
HURA,Global X Uranium Index ETF,Global X,Equity,0.25,0.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CIE,iShares International Fundamental Index ETF,iShares,Equity,0.25,2.34,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
CGDV.B,CI Global Minimum Downside Volatility Index Fund,CI,Equity,0.25,1.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
EVO,Evovest Global Equity Fund,Evovest,Equity,0.25,0.64,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XQLT,iShares MSCI USA Quality Factor Index ETF,iShares,Equity,0.25,0.67,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
